category,subcategory,item,unit,co2_kg,country_region,year,source,notes
Energy,Natural Gas,Natural gas (UK),kWh,0.18316,UK,2024,DEFRA,Per kWh net CV
Energy,Natural Gas,Natural gas (US),kWh,0.18123,US,2024,EPA,53.06 kg CO2/mmBtu
Energy,Natural Gas,Natural gas (US),mmBtu,53.06,US,2024,EPA,
Energy,Fuel Oil,Gas oil / diesel,kWh,0.26628,UK,2024,DEFRA,
Energy,Fuel Oil,Gas oil / diesel,litre,2.68778,UK,2024,DEFRA,
Energy,Fuel Oil,Petrol,kWh,0.24527,UK,2024,DEFRA,
Energy,Fuel Oil,Petrol,litre,2.20614,UK,2024,DEFRA,
Materials,Construction,Aggregates,tonne,7.75127,UK,2024,DEFRA,Per tonne material
Materials,Construction,Concrete,tonne,118.75127,UK,2024,DEFRA,
Materials,Construction,Bricks,tonne,241.75127,UK,2024,DEFRA,
Materials,Construction,Average construction,tonne,74.88652,UK,2024,DEFRA,
Materials,Metal,Steel,tonne,2340.48267,UK,2024,DEFRA,Average steel
Materials,Metal,Aluminium,tonne,6694.29802,UK,2024,DEFRA,
Materials,Metal,Average metal,tonne,2475.77699,UK,2024,DEFRA,
Materials,Plastic,Average plastic,tonne,2587.89676,UK,2024,DEFRA,
Materials,Paper,Average paper,tonne,897.4886,UK,2024,DEFRA,
Materials,Organic,Average organic,tonne,398.961,UK,2024,DEFRA,
Materials,Electrical,Average electrical items,tonne,924.51877,UK,2024,DEFRA,
Packaging,Plastic,Plastic packaging,kg,2.587,UK,2024,DEFRA,From plastic material factor /1000
Packaging,Paper,Cardboard / paper packaging,kg,0.897,UK,2024,DEFRA,From paper material factor /1000
Packaging,Wood,Wooden pallet,kg,0.327,UK,2024,DEFRA,From wood/biomass factor
Services,Professional,Consulting / professional services,USD,0.08,Global,2024,EPA/EDGAR,"Per $ spend, estimated avg"
Services,Software,Software / IT services,USD,0.05,Global,2024,EPA/EDGAR,"Per $ spend, estimated avg"
Services,Cleaning,Cleaning / facility services,USD,0.12,Global,2024,EPA/EDGAR,"Per $ spend, estimated avg"
Waste,General,Mixed municipal waste,tonne,408.8,UK,2024,DEFRA,Open-loop recycling
Waste,General,Mixed municipal waste,kg,0.409,UK,2024,DEFRA,
Waste,Plastic,Plastic waste,tonne,1657.0,UK,2024,DEFRA,Open-loop recycling
Waste,Paper,Paper waste,tonne,649.0,UK,2024,DEFRA,Open-loop recycling
Waste,Organic,Organic / food waste,tonne,399.0,UK,2024,DEFRA,Open-loop recycling
Waste,Metal,Metal waste,tonne,2475.0,UK,2024,DEFRA,Open-loop recycling
Water,Supply,Water supply (UK),m3,0.15311,UK,2024,DEFRA,
Water,Treatment,Water treatment (UK),m3,0.33274,UK,2024,DEFRA,
General,GDP-based,CO2 per $ GDP (Global),USD,0.26,Global,2024,OWID,Global avg: ~0.26 kg CO2 per $ GDP
General,GDP-based,CO2 per $ GDP (US),USD,0.2,US,2024,OWID,US avg
General,GDP-based,CO2 per $ GDP (EU),USD,0.14,EU,2024,OWID,EU avg
General,GDP-based,CO2 per $ GDP (China),USD,0.45,CN,2024,OWID,China avg
